,CO,NH3N,flow
2024-03-11,2.010057566972803,1.2170272208599568,1.6240939505244036
2024-03-12,2.0079318631991137,1.2228579704334885,1.60657947276495
2024-03-13,1.9638411130942692,1.2018594836433043,1.6166801101753516
2024-03-14,2.036495052590878,1.1866280068136243,1.6339361953137275
2024-03-15,1.9928763269955,1.1958202285575363,1.6066035980257487
2024-03-16,2.060266276619441,1.2403250749022248,1.6990557823997543
2024-03-17,2.016236623575866,1.2027073563394601,1.636347613600988
2024-03-18,2.044701534680934,1.1780720358580092,1.7031188886632376
2024-03-19,2.089783430023586,1.1516603698718266,1.645335411813027
2024-03-20,1.9627703210409688,1.1689896071290995,1.552305667464625
2024-03-21,2.008834454470721,1.185272614440648,1.606762412402
2024-03-22,1.9858109135606496,1.1753646072304194,1.664901829165037
2024-03-23,1.9467084130024683,1.235772047533851,1.6833697163062755
2024-03-24,1.8737845623243545,1.1319981109533344,1.5915058928843961
2024-03-25,2.027036339515236,1.191122248838934,1.7098124791981961
2024-03-26,1.982107009772303,1.2097327242348874,1.665003346046892
2024-03-27,1.9667650283184415,1.188438819121222,1.6796771974353895
2024-03-28,2.0109791438225226,1.2126846700574607,1.6712207704012438
2024-03-29,1.9763466164914458,1.1698069018579522,1.6475878310919383
2024-03-30,1.924377450728077,1.23208969315781,1.656483282482987
